file,p_up,signal,position,return,cost,pnl,cum_pnl,peak,dd
002519.csv,0.4247329955615329,-1.0,-0.36787944117144233,0.04848414777354226,0.0005201298374227716,-0.018356451026027128,-0.10805925296936389,0.009614192916218149,-0.11767344588558204
002519.csv,0.4182727788968369,-1.0,-0.36787944117144233,0.08952059237431875,0.0003594761111310704,-0.03329226160713193,-0.1413515145764958,0.009614192916218149,-0.15096570749271396
002519.csv,0.5579068653257734,1.0,1.0,0.017500950660197745,0.0016646714085767939,0.01583627925162095,-0.12551523532487485,0.009614192916218149,-0.135129428241093
002519.csv,0.5696944259896247,1.0,1.0,0.07000534408778014,0.0023787480960810107,0.06762659599169914,-0.057888639333175715,0.009614192916218149,-0.06750283224939387
002519.csv,0.5572113660803661,1.0,1.0,0.0772874317601644,0.002328443008627844,0.07495898875153655,0.01707034941836083,0.01707034941836083,0.0
002519.csv,0.560944858904275,1.0,1.0,0.039636295389758214,0.0043873315078585195,0.03524896388189969,0.052319313300260524,0.052319313300260524,0.0
601933.csv,0.4303617489709162,-1.0,-0.44932896411722156,0.025344205082451277,6.874731044562451e-05,-0.011456632726517878,0.04086268057374265,0.052319313300260524,-0.011456632726517875
601933.csv,0.4152443415701645,-1.0,-0.36787944117144233,0.01485300318627436,6.749317630411296e-05,-0.005531607688188377,0.035331072885554274,0.052319313300260524,-0.01698824041470625
601933.csv,0.4336154013315719,-1.0,-0.36787944117144233,-0.01475022261668224,0.0003143678847558879,0.005111935768623545,0.04044300865417782,0.052319313300260524,-0.011876304646082705
601933.csv,0.4127122457394548,-1.0,-0.36787944117144233,0.02050525991010055,0.0003662784280960008,-0.007909741984898971,0.032533266669278846,0.052319313300260524,-0.019786046630981678
601933.csv,0.4423627473912046,-1.0,-0.36787944117144233,0.007346961395491736,0.0004431524117723906,-0.0031459484642540505,0.029387318205024795,0.052319313300260524,-0.02293199509523573
601933.csv,0.4132308371385707,-1.0,-0.36787944117144233,-0.012295154366413596,0.0005224112873651005,0.0040007232300677525,0.033388041435092546,0.052319313300260524,-0.01893127186516798
